route_key,final_service_units
2025-02-11_46_45,4104
2025-01-20_17_23,1671
2025-01-08_02_14,1260
2025-01-08_08_47,970
2025-01-08_09_46,3538
2025-01-21_45_05,1456
2025-02-26_47_08,1518
2025-01-03_02_19,2547
2025-02-11_02_30,1850
2025-01-25_05_45,2180
2025-02-04_36_07,1372
2025-01-28_02_14,1274
2025-01-14_47_46,1680
2025-02-04_02_16,1375
2025-02-20_47_43,2996
2025-01-03_19_30,2076
2025-02-27_22_36,1225
2025-02-10_47_08,1202
2025-01-27_47_02,1527
2025-01-27_22_36,1341
2025-01-10_36_27,1398
2025-02-11_46_15,1488
2025-02-28_42_45,1849
2025-01-22_30_02,1419
2025-01-17_09_46,5592
2025-01-29_46_48,3494
2025-02-27_11_36,2304
2025-02-19_48_45,1626
2025-01-27_23_13,1790
2025-01-14_28_45,2517
2025-01-27_46_18,1139
2025-02-14_47_05,5692
2025-02-20_17_23,1327
2025-02-07_23_13,2177
2025-01-27_36_12,1465
2025-01-11_16_02,1424
2025-02-04_46_33,743
2025-01-11_48_46,2836
2025-01-24_16_02,1375
2025-01-12_23_13,1898
2025-02-07_46_18,3010
2025-02-26_09_46,4335
2025-02-07_47_05,5050
2025-01-18_36_22,1372
2025-02-07_02_01,1753
2025-01-01_46_26,1953
2025-02-08_26_46,2074
2025-01-09_46_44,4403
2025-01-04_02_21,1672
2025-02-08_27_36,1961
2025-01-03_05_47,2177
2025-01-09_26_46,1484
2025-01-14_20_46,1464
2025-02-25_13_23,1676
2025-02-04_45_34,1306
2025-01-20_05_45,3316
2025-02-15_46_15,1869
2025-01-16_19_02,1642
2025-01-07_22_36,1133
2025-01-21_32_19,1935
2025-02-13_32_19,1797
2025-02-27_02_40,2163
2025-02-22_45_42,1896
2025-01-05_35_46,4345
2025-01-16_26_46,2029
2025-02-09_13_23,3144
2025-01-24_39_45,1532
2025-01-13_36_27,1030
2025-02-09_45_47,5561
2025-01-21_26_46,1877
2025-02-08_45_05,1753
2025-02-03_35_46,3321
2025-01-03_19_02,2690
2025-02-06_36_12,1937
2025-02-04_37_36,1320
2025-01-28_45_44,1085
2025-02-18_46_15,1150
2025-02-10_45_46,5194
2025-01-13_02_21,1217
2025-02-23_02_30,3797
2025-02-22_09_45,3024
2025-02-12_30_14,1606
2025-02-27_41_36,2125
2025-01-05_45_47,5469
2025-02-18_46_26,1502
2025-01-11_36_22,1217
2025-02-12_02_01,1542
2025-02-13_17_23,1112
2025-02-08_09_45,3155
2025-02-17_45_05,1525
2025-01-03_36_27,1205
2025-02-14_37_36,1424
2025-01-15_12_36,1623
2025-01-26_02_01,1440
2025-01-26_02_14,1385
2025-02-05_36_12,1407
2025-01-24_02_21,1591
2025-01-18_44_45,1949
2025-02-27_47_10,1272
2025-01-14_03_47,1593
2025-02-22_06_47,1612
2025-01-10_44_46,2168
2025-01-30_03_47,1608
2025-02-25_15_46,1354
2025-02-13_19_32,2656
2025-02-04_47_46,1818
2025-01-04_47_06,1654
2025-02-06_01_02,1274
2025-01-25_28_45,1990
2025-02-22_47_03,1990
